sa2_name,pop_density
Braidwood,1.3
Karabar,1209.6
Queanbeyan,2388.3
Queanbeyan - East,394.7
Queanbeyan West - Jerrabomberra,941.7
Googong,1228.5
Queanbeyan Surrounds,5.8
Bombala,0.6
Cooma,64.8
Cooma Surrounds,0.6
Jindabyne - Berridale,2.2
Batemans Bay,135.8
Batemans Bay - South,296.4
Bega - Tathra,49.0
Bega-Eden Hinterland,2.1
Broulee - Tomakin,162.3
Deua - Wadbilliga,0.0
Eden,36.5
Eurobodalla Hinterland,2.5
Merimbula - Tura Beach,119.3
Moruya - Tuross Head,52.5
Narooma - Bermagui,39.6
Goulburn,390.6
Goulburn Surrounds,1.6
Yass,68.3
Yass Surrounds,2.3
Young,21.7
Young Surrounds,1.3
Avoca Beach - Copacabana,1175.9
Box Head - MacMasters Beach,349.5
Calga - Kulnura,6.1
Erina - Green Point,434.4
Gosford - Springfield,1336.2
Kariong,781.3
Kincumber - Picketts Valley,647.8
Narara,953.5
Niagara Park - Lisarow,493.9
Point Clare - Koolewong,983.4
Saratoga - Davistown,1541.0
Terrigal - North Avoca,1473.1
Umina - Booker Bay - Patonga,991.2
Wamberal - Forresters Beach,791.6
Woy Woy - Blackwall,836.6
Wyoming,1352.9
Bateau Bay - Killarney Vale,2117.0
Blue Haven - San Remo,553.9
Budgewoi - Buff Point - Halekulani,1068.3
Chittaway Bay - Tumbi Umbi,667.5
Gorokan - Kanwal - Charmhaven,2021.5
Jilliby - Yarramalong,10.3
Lake Munmorah - Mannering Park,311.5
Ourimbah - Fountaindale,43.2
Summerland Point - Gwandalan,753.3
The Entrance,1165.8
Toukley - Norah Head,935.9
Tuggerah - Kangy Angy,190.2
Warnervale - Wadalba,521.2
Wyong,622.6
Bathurst - East,141.8
Bathurst Surrounds,1.9
Oberon,1.6
Bathurst - South,279.9
Bathurst - West,180.6
Condobolin,0.4
Cowra,37.7
Cowra Surrounds,1.9
Forbes,2.2
Grenfell,1.1
Parkes (NSW),46.9
Parkes Surrounds,0.6
West Wyalong,0.7
Lithgow,102.0
Lithgow Surrounds,3.4
Mudgee,194.2
Mudgee Surrounds - East,1.2
Mudgee Surrounds - West,1.4
Wollangambe - Wollemi,0.0
Blayney,4.7
Orange,422.6
Orange - North,239.7
Orange Surrounds,2.7
Grafton,185.6
Grafton Surrounds,2.1
Maclean - Yamba - Iluka,25.7
Bellingen,6.1
Coffs Harbour - North,734.2
Coffs Harbour - South,338.0
Coramba - Nana Glen - Bucca,11.1
Dorrigo,1.6
Korora - Emerald Beach,187.8
Sawtell - Boambee,172.2
Urunga,45.6
Woolgoolga - Arrawarra,55.7
Bourke - Brewarrina,0.1
Cobar,0.1
Coonamble,0.3
Nyngan - Warren,0.2
Walgett - Lightning Ridge,0.2
Broken Hill,103.1
Far West,0.0
Coonabarabran,0.8
Dubbo - East,123.1
Dubbo - South,802.6
Dubbo - West,157.0
Dubbo Surrounds,1.5
Gilgandra,0.8
Narromine,1.1
Wellington,2.5
Branxton - Greta - Pokolbin,39.1
Cessnock,351.8
Cessnock Surrounds,6.2
Dungog,4.4
Kurri Kurri - Abermain,251.8
Singleton,137.1
Singleton Surrounds,1.3
Maitland,297.3
Maitland - North,129.9
East Maitland - Metford,842.4
Rutherford (North) - Aberglasslyn,141.6
Rutherford (South) - Telarah,230.6
Tenambit - East Maitland,605.8
Thornton - Millers Forest,301.5
Anna Bay,99.8
Lemon Tree Passage - Tanilba Bay,233.5
Nelson Bay Peninsula,464.3
Raymond Terrace,139.3
Seaham - Woodville,23.6
Tea Gardens - Hawks Nest,28.4
Williamtown - Medowie - Karuah,45.5
Muswellbrook,48.1
Muswellbrook Surrounds,1.3
Scone,50.9
Scone Surrounds,1.1
Dapto - Avondale,437.5
Horsley - Kembla Grange,318.4
Port Kembla Industrial,0.5
Unanderra - Mount Kembla,610.4
Berkeley - Lake Heights - Cringila,1135.1
Port Kembla - Warrawong,1397.8
Windang - Primbee,755.1
Illawarra Catchment Reserve,0.0
Albion Park - Macquarie Pass,302.1
Albion Park Rail,954.1
Kiama,650.6
Kiama Downs - Minnamurra,820.7
Kiama Hinterland - Gerringong,36.4
Shellharbour - Flinders,413.0
Shellharbour - Oak Flats,1811.3
Warilla,2168.5
Balgownie - Fairy Meadow,1804.0
Corrimal - Tarrawanna - Bellambi,1487.5
Figtree - Keiraville,1252.8
Helensburgh,58.9
Thirroul - Austinmer - Coalcliff,747.8
Woonona - Bulli - Russell Vale,1319.4
Wollongong - East,3232.1
Wollongong - West,3066.2
Bulahdelah - Stroud,2.3
Forster,439.8
Forster-Tuncurry Surrounds,9.6
Tuncurry,402.0
Kempsey,83.2
Kempsey Surrounds,2.6
Macksville - Scotts Head,64.0
Nambucca Heads,232.2
Nambucca Heads Surrounds,6.2
South West Rocks,129.5
Lord Howe Island,27.5
Laurieton - Bonny Hills,37.1
Port Macquarie - West,431.8
Port Macquarie Surrounds,1.8
Wauchope,69.1
Port Macquarie - East,1665.2
Port Macquarie - South,498.9
Gloucester,1.8
Old Bar - Manning Point - Red Head,63.0
Taree,171.2
Taree Surrounds,4.0
Wingham,87.7
Albury - East,198.1
Albury - North,439.0
Albury - South,212.5
Albury Surrounds,2.4
Lavington,727.2
Hay,0.2
Wentworth - Buronga,21.0
Wentworth-Balranald Region,0.1
Corowa,71.9
Corowa Surrounds,1.7
Deniliquin,49.3
Deniliquin Surrounds,0.4
Moama,45.5
Tocumwal - Finley - Jerilderie,2.0
Armidale,88.8
Armidale Surrounds - North,0.8
Armidale Surrounds - South,1.8
Walcha,0.5
Glen Innes,1.6
Inverell,59.1
Inverell Surrounds - East,0.6
Inverell Surrounds - West,0.7
Tenterfield,1.0
Moree,115.2
Moree Surrounds,0.3
Narrabri,38.6
Narrabri Surrounds,0.4
Gunnedah,112.0
Gunnedah Surrounds,0.8
Quirindi,1.5
Tamworth - East,221.2
Tamworth - North,221.4
Tamworth - West,103.0
Tamworth Surrounds,2.2
Belmont - Bennetts Green,804.7
Belmont South - Blacksmiths,850.9
Charlestown - Dudley,1164.5
Glendale - Cardiff - Hillsborough,1158.9
Mount Hutton - Windale,1544.5
Redhead,1016.8
Swansea - Caves Beach,400.7
Valentine - Eleebana,1258.2
Warners Bay - Boolaroo,1217.5
Bolton Point - Teralba,480.1
Bonnells Bay - Silverwater,998.1
Edgeworth - Cameron Park,1157.0
Morisset - Cooranbong,61.5
Toronto - Awaba,322.4
Wangi Wangi - Rathmines,731.3
West Wallsend - Barnsley - Killingworth,102.7
