_id,MonthYear,Station,Station_Type,Entry_Exit,Trip
1,2016-07,Aberdeen Station,Train,Entry,Less than 50
2,2016-07,Aberdeen Station,Train,Exit,Less than 50
3,2016-08,Aberdeen Station,Train,Entry,Less than 50
4,2016-08,Aberdeen Station,Train,Exit,Less than 50
5,2016-09,Aberdeen Station,Train,Entry,Less than 50
6,2016-09,Aberdeen Station,Train,Exit,Less than 50
7,2016-10,Aberdeen Station,Train,Entry,70
8,2016-10,Aberdeen Station,Train,Exit,Less than 50
9,2016-11,Aberdeen Station,Train,Entry,Less than 50
10,2016-11,Aberdeen Station,Train,Exit,Less than 50
11,2016-12,Aberdeen Station,Train,Entry,Less than 50
12,2016-12,Aberdeen Station,Train,Exit,Less than 50
13,2017-01,Aberdeen Station,Train,Entry,70
14,2017-01,Aberdeen Station,Train,Exit,70
15,2017-02,Aberdeen Station,Train,Entry,60
16,2017-02,Aberdeen Station,Train,Exit,Less than 50
17,2017-03,Aberdeen Station,Train,Entry,80
18,2017-03,Aberdeen Station,Train,Exit,60
19,2017-04,Aberdeen Station,Train,Entry,70
20,2017-04,Aberdeen Station,Train,Exit,Less than 50
21,2017-05,Aberdeen Station,Train,Entry,70
22,2017-05,Aberdeen Station,Train,Exit,80
23,2017-06,Aberdeen Station,Train,Entry,80
24,2017-06,Aberdeen Station,Train,Exit,Less than 50
25,2017-07,Aberdeen Station,Train,Entry,100
26,2017-07,Aberdeen Station,Train,Exit,70
27,2017-08,Aberdeen Station,Train,Entry,70
28,2017-08,Aberdeen Station,Train,Exit,60
29,2017-09,Aberdeen Station,Train,Entry,100
30,2017-09,Aberdeen Station,Train,Exit,80
31,2017-10,Aberdeen Station,Train,Entry,60
32,2017-10,Aberdeen Station,Train,Exit,Less than 50
33,2017-11,Aberdeen Station,Train,Entry,70
34,2017-11,Aberdeen Station,Train,Exit,Less than 50
35,2017-12,Aberdeen Station,Train,Entry,60
36,2017-12,Aberdeen Station,Train,Exit,70
37,2018-01,Aberdeen Station,Train,Entry,60
38,2018-01,Aberdeen Station,Train,Exit,60
39,2018-02,Aberdeen Station,Train,Entry,60
40,2018-02,Aberdeen Station,Train,Exit,Less than 50
41,2018-03,Aberdeen Station,Train,Entry,100
42,2018-03,Aberdeen Station,Train,Exit,80
43,2018-04,Aberdeen Station,Train,Entry,70
44,2018-04,Aberdeen Station,Train,Exit,60
45,2018-05,Aberdeen Station,Train,Entry,90
46,2018-05,Aberdeen Station,Train,Exit,80
47,2018-06,Aberdeen Station,Train,Entry,70
48,2018-06,Aberdeen Station,Train,Exit,Less than 50
49,2018-07,Aberdeen Station,Train,Entry,90
50,2018-07,Aberdeen Station,Train,Exit,70
51,2018-08,Aberdeen Station,Train,Entry,90
52,2018-08,Aberdeen Station,Train,Exit,70
53,2018-09,Aberdeen Station,Train,Entry,60
54,2018-09,Aberdeen Station,Train,Exit,Less than 50
55,2018-10,Aberdeen Station,Train,Entry,70
56,2018-10,Aberdeen Station,Train,Exit,60
57,2018-11,Aberdeen Station,Train,Entry,80
58,2018-11,Aberdeen Station,Train,Exit,60
59,2018-12,Aberdeen Station,Train,Entry,80
60,2018-12,Aberdeen Station,Train,Exit,Less than 50
61,2019-01,Aberdeen Station,Train,Entry,60
62,2019-01,Aberdeen Station,Train,Exit,Less than 50
63,2019-02,Aberdeen Station,Train,Entry,70
64,2019-02,Aberdeen Station,Train,Exit,Less than 50
65,2019-03,Aberdeen Station,Train,Entry,80
66,2019-03,Aberdeen Station,Train,Exit,60
67,2019-04,Aberdeen Station,Train,Entry,60
68,2019-04,Aberdeen Station,Train,Exit,60
69,2019-05,Aberdeen Station,Train,Entry,60
70,2019-05,Aberdeen Station,Train,Exit,Less than 50
71,2019-06,Aberdeen Station,Train,Entry,70
72,2019-06,Aberdeen Station,Train,Exit,Less than 50
73,2019-07,Aberdeen Station,Train,Entry,70
74,2019-07,Aberdeen Station,Train,Exit,Less than 50
75,2019-08,Aberdeen Station,Train,Entry,80
76,2019-08,Aberdeen Station,Train,Exit,70
77,2019-09,Aberdeen Station,Train,Entry,Less than 50
78,2019-09,Aberdeen Station,Train,Exit,Less than 50
79,2019-10,Aberdeen Station,Train,Entry,80
80,2019-10,Aberdeen Station,Train,Exit,70
81,2019-11,Aberdeen Station,Train,Entry,60
82,2019-11,Aberdeen Station,Train,Exit,Less than 50
83,2019-12,Aberdeen Station,Train,Entry,80
84,2019-12,Aberdeen Station,Train,Exit,Less than 50
85,2020-01,Aberdeen Station,Train,Entry,80
86,2020-01,Aberdeen Station,Train,Exit,60
87,2020-02,Aberdeen Station,Train,Entry,70
88,2020-02,Aberdeen Station,Train,Exit,Less than 50
89,2020-03,Aberdeen Station,Train,Entry,Less than 50
90,2020-03,Aberdeen Station,Train,Exit,Less than 50
91,2020-04,Aberdeen Station,Train,Entry,Less than 50
92,2020-04,Aberdeen Station,Train,Exit,Less than 50
93,2020-05,Aberdeen Station,Train,Entry,Less than 50
94,2020-05,Aberdeen Station,Train,Exit,Less than 50
95,2020-06,Aberdeen Station,Train,Entry,Less than 50
96,2020-06,Aberdeen Station,Train,Exit,Less than 50
