MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2024-07,Aberdeen Station,Train,Exit,Less than 50
2024-07,Aberdeen Station,Train,Entry,Less than 50
2024-07,Adamstown Station,Train,Exit,2293
2024-07,Adamstown Station,Train,Entry,2484
2024-07,Albion Park Station,Train,Exit,5297
2024-07,Albion Park Station,Train,Entry,5935
2024-07,Allawah Station,Train,Exit,55584
2024-07,Allawah Station,Train,Entry,61790
2024-07,Arncliffe Station,Train,Exit,51602
2024-07,Arncliffe Station,Train,Entry,55768
2024-07,Artarmon Station,Train,Exit,96624
2024-07,Artarmon Station,Train,Entry,102147
2024-07,Ashfield Station,Train,Exit,257485
2024-07,Ashfield Station,Train,Entry,256918
2024-07,Asquith Station,Train,Exit,26198
2024-07,Asquith Station,Train,Entry,29867
2024-07,Auburn Station,Train,Exit,366623
2024-07,Auburn Station,Train,Entry,384224
2024-07,Austinmer Station,Train,Exit,1456
2024-07,Austinmer Station,Train,Entry,1789
2024-07,Awaba Station,Train,Exit,373
2024-07,Awaba Station,Train,Entry,449
2024-07,Banksia Station,Train,Exit,32572
2024-07,Banksia Station,Train,Entry,35339
2024-07,Bankstown Station,Train,Exit,214527
2024-07,Bankstown Station,Train,Entry,211046
2024-07,Bardwell Park Station,Train,Exit,23309
2024-07,Bardwell Park Station,Train,Entry,25189
2024-07,Bargo Station,Train,Exit,1169
2024-07,Bargo Station,Train,Entry,1302
2024-07,Bathurst Station,Train,Exit,2018
2024-07,Bathurst Station,Train,Entry,2778
2024-07,Beecroft Station,Train,Exit,30289
2024-07,Beecroft Station,Train,Entry,31582
2024-07,Bell Station,Train,Exit,61
2024-07,Bell Station,Train,Entry,76
2024-07,Bella Vista Station,Metro,Exit,55712
2024-07,Bella Vista Station,Metro,Entry,59471
2024-07,Bellambi Station,Train,Exit,1603
2024-07,Bellambi Station,Train,Entry,1922
2024-07,Belmore Station,Train,Exit,47218
2024-07,Belmore Station,Train,Entry,52152
2024-07,Berala Station,Train,Exit,43177
2024-07,Berala Station,Train,Entry,43898
